Technology,Ann_Inv,Fix_OM,Var_OM,Ann_Inv_MWYr,Fix_OM_MW
Land-based Wind,1408,29,0,70400,29000
Offshore Wind,4392,79,0,219600,79000
Utility Solar,1193,18,0,59650,18000
BTM Solar,1801.5,20.5,0,90075,20500
Hydropower,9234,155,0,461700,155000
Nuclear,7616,175,2.8,380800,175000
Coal,6069,126,14.95,303450,126000
Combined Cycle,1403,60,4.48,70150,60000
Utility Scale BESS - 2hr ,942,20,0,47100,20000
Utility Scale BESS - 4hr ,1451,33,0,72550,33000
Utility Scale BESS - 6hr ,1961,45,0,98050,45000
Utility Scale BESS - 8hr ,2470,57,0,123500,57000
Utility Scale BESS - 10hr ,2979,69,0,148950,69000